symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,upper,middle,lower,rsi
BENGALWTL,2025-05-24,19.9,20.1,20.8,19.2,1353655,27.206,1320,0.9,1756.339,2025-05-24 11:37:56.964,19.81939386981178,17.18,14.54060613018822,
BENGALWTL,2025-06-01,19.0,17.9,19.0,17.6,307007,5.462,390,0.3,1609.978,2025-06-01 11:04:41.085,19.935369482693684,17.54375,15.152130517306317,56.35051118391107
BENGALWTL,2025-06-16,17.8,18.1,18.3,17.8,487657,8.832,353,0.5,1609.978,2025-06-16 11:03:23.319,19.67635125343651,17.805555555555557,15.934759857674603,57.88895353142255
